Time,IndexTipX,IndexTipY,IndexTipZ,Trial
0.005145,-0.187205,5.408440,-1.129696,1
0.016275,-0.185340,5.409558,-1.126592,1
0.028523,-0.183627,5.413213,-1.118986,1
0.038806,-0.181176,5.415666,-1.113205,1
0.049477,-0.179375,5.417598,-1.106972,1
0.061007,-0.177457,5.420228,-1.101944,1
0.072094,-0.175784,5.420710,-1.098937,1
0.083385,-0.174695,5.422335,-1.094237,1
0.094204,-0.173981,5.422935,-1.091355,1
0.105588,-0.173953,5.423332,-1.089155,1
0.115840,-0.174204,5.423724,-1.087989,1
0.127266,-0.174228,5.424279,-1.086229,1
0.144344,-0.173413,5.425061,-1.084489,1
0.150605,-0.172873,5.426434,-1.082052,1
0.160444,-0.171544,5.428265,-1.078958,1
0.172125,-0.168661,5.430444,-1.075455,1
0.182776,-0.166870,5.432461,-1.072239,1
0.194163,-0.166040,5.434632,-1.068736,1
0.204701,-0.165334,5.437099,-1.065634,1
0.216398,-0.166061,5.439425,-1.062452,1
0.227829,-0.167796,5.441216,-1.059840,1
0.237715,-0.169979,5.442780,-1.056673,1
0.250642,-0.172179,5.444680,-1.053595,1
0.260532,-0.172831,5.446470,-1.050113,1
0.271883,-0.173856,5.448277,-1.045636,1
0.282904,-0.174216,5.450148,-1.041072,1
0.294232,-0.173992,5.452232,-1.037890,1
0.304933,-0.173546,5.453704,-1.034548,1
0.316222,-0.172834,5.456181,-1.031115,1
0.327622,-0.172998,5.458757,-1.027000,1
0.338326,-0.173163,5.461441,-1.022073,1
0.349836,-0.175442,5.463493,-1.018079,1
0.360767,-0.177685,5.465795,-1.012850,1
0.372091,-0.179793,5.468027,-1.007285,1
0.382147,-0.181708,5.469627,-1.001169,1
0.393834,-0.183752,5.470491,-0.995901,1
0.405219,-0.186068,5.470504,-0.991759,1
0.415636,-0.187364,5.470968,-0.986940,1
0.427367,-0.189686,5.469646,-0.981554,1
0.439250,-0.192400,5.467826,-0.977023,1
0.449525,-0.196261,5.465071,-0.972506,1
0.460296,-0.199162,5.461911,-0.968620,1
0.471980,-0.202518,5.457526,-0.965171,1
0.483621,-0.207974,5.452198,-0.960435,1
0.493988,-0.211628,5.449315,-0.957140,1
0.504527,-0.218031,5.446077,-0.950852,1
0.516736,-0.224483,5.442919,-0.945357,1
0.527272,-0.230355,5.438792,-0.938765,1
0.538153,-0.234778,5.435727,-0.932699,1
0.549890,-0.240062,5.431828,-0.924411,1
0.561042,-0.242613,5.428545,-0.916765,1
0.571870,-0.243908,5.426161,-0.909946,1
0.582393,-0.245096,5.422778,-0.900877,1
0.593801,-0.245911,5.419916,-0.894132,1
0.605138,-0.248283,5.416057,-0.884120,1
0.615799,-0.249088,5.412865,-0.877627,1
0.627309,-0.251510,5.408674,-0.868245,1
0.652613,-0.258222,5.400225,-0.856020,1
0.662190,-0.259781,5.398142,-0.848590,1
0.667918,-0.258298,5.398923,-0.840227,1
0.677395,-0.259345,5.397131,-0.832874,1
0.689156,-0.261164,5.393358,-0.823765,1
0.700074,-0.262590,5.389802,-0.815316,1
0.710869,-0.261372,5.388180,-0.807401,1
0.721626,-0.260692,5.385472,-0.797526,1
0.733697,-0.259427,5.383388,-0.788399,1
0.005134,-0.258096,5.379887,-0.777764,2
0.015748,-0.255575,5.378496,-0.770117,2
0.027228,-0.251890,5.375831,-0.762228,2
0.037841,-0.249114,5.374253,-0.754679,2
0.049068,-0.246774,5.372697,-0.748119,2
0.059647,-0.244049,5.371733,-0.744033,2
0.071105,-0.242928,5.370441,-0.739249,2
0.082081,-0.241948,5.368996,-0.736207,2
0.092615,-0.241288,5.368437,-0.733407,2
0.104352,-0.241009,5.367364,-0.731300,2
0.115359,-0.240318,5.366918,-0.728991,2
0.126178,-0.239473,5.366542,-0.726447,2
0.137032,-0.238662,5.366699,-0.723609,2
0.148418,-0.238475,5.366444,-0.721738,2
0.160036,-0.238718,5.366228,-0.719550,2
0.170483,-0.239790,5.366260,-0.718178,2
0.182195,-0.242202,5.366371,-0.716369,2
0.192755,-0.245501,5.366982,-0.713598,2
0.204206,-0.250096,5.367898,-0.710273,2
0.214743,-0.254887,5.368999,-0.705298,2
0.226264,-0.259059,5.370057,-0.699886,2
0.237558,-0.263988,5.371403,-0.692942,2
0.248852,-0.267062,5.373305,-0.684433,2
0.259430,-0.270130,5.375460,-0.675543,2
0.270866,-0.271944,5.377863,-0.665861,2
0.282310,-0.272895,5.380591,-0.656118,2
0.292740,-0.273374,5.383872,-0.644957,2
0.303972,-0.273155,5.387069,-0.633549,2
0.315209,-0.273232,5.390252,-0.621523,2
0.327148,-0.273826,5.393170,-0.607548,2
0.338042,-0.274973,5.396157,-0.593305,2
0.349388,-0.276059,5.398480,-0.578836,2
0.361649,-0.277199,5.400692,-0.562431,2
0.372356,-0.277984,5.402668,-0.545577,2
0.383818,-0.277556,5.403555,-0.527123,2
0.395763,-0.277903,5.403895,-0.507308,2
0.406016,-0.277568,5.403157,-0.486536,2
0.417744,-0.277774,5.402259,-0.467675,2
0.430343,-0.278351,5.399468,-0.448895,2
0.446722,-0.277623,5.395750,-0.430333,2
0.451836,-0.279363,5.396182,-0.417659,2
0.463422,-0.280969,5.393830,-0.401348,2
0.475110,-0.283591,5.391303,-0.386353,2
0.485991,-0.285905,5.388073,-0.370845,2
0.497215,-0.289071,5.385633,-0.356287,2
0.508701,-0.291193,5.381510,-0.342017,2
0.520257,-0.292099,5.376863,-0.327369,2
0.532435,-0.292774,5.371817,-0.314216,2
0.543612,-0.293474,5.365983,-0.302340,2
0.554457,-0.293516,5.362728,-0.291852,2
0.564610,-0.293350,5.358779,-0.281353,2
0.575925,-0.292985,5.353274,-0.269336,2
0.587370,-0.292143,5.344523,-0.256322,2
0.597921,-0.292062,5.340038,-0.248480,2
0.608962,-0.289684,5.335988,-0.238488,2
0.620483,-0.284554,5.331581,-0.226528,2
0.631267,-0.279732,5.326947,-0.217903,2
0.002086,-0.274631,5.318560,-0.207391,3
0.014269,-0.270798,5.310408,-0.200345,3
0.024978,-0.267947,5.303789,-0.194646,3
0.035874,-0.267510,5.299961,-0.189460,3
